Kode KBLI 2025,Rincian KBLI 2025
10219,Pengolahan dan Pengawetan Ikan dengan Metode Lainnya
10291,Pengolahan dan Pengawetan Biota Air Lainnya dengan Penggaraman atau Pengeringan
10292,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pengasapan atau Pemanggangan
10293,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pembekuan
10294,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pemindangan
10295,Pengolahan dan Pengawetan Biota Air Lainnya dengan Fermentasi
10296,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pelumatan
10297,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pengalengan
10298,Pengolahan dan Pengawetan Rumput Laut
10299,Pengolahan dan Pengawetan Biota Air Lainnya dengan Metode Lainnya
10301,Pengasinan Buah-buahan dan Sayuran
10302,Pelumatan Buah-buahan dan Sayuran
10303,Pengeringan Buah-buahan dan Sayuran
10304,Pembekuan Buah-buahan dan Sayuran
10305,Pengalengan Buah-buahan dan Sayuran
10306,Pengolahan Sari Buah-buahan dan Sayuran
10307,Pembuatan Tempe Kedelai
10308,Pembuatan Tahu Kedelai
10309,Pengolahan dan Pengawetan Lainnya untuk Buah-buahan dan Sayuran
10392,#N/A
10411,Industri Minyak Mentah dan Lemak Nabati Bukan Kelapa dan Kelapa Sawit
10412,Industri Margarin
10413,Industri Minyak Mentah dan Lemak dari Hewan Selain Ikan
10414,Industri Minyak Ikan
10415,Industri Minyak Goreng dan Minyak Makan Bukan Minyak Kelapa dan Minyak Kelapa Sawit
10419,Industri Minyak Mentah dan Lemak Nabati dan Hewani Bukan Kelapa dan Kelapa Sawit Lainnya
10421,Industri Kopra
10422,Industri Minyak Mentah Kelapa
10423,Industri Minyak Goreng Kelapa
10431,Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil)
10432,Industri Minyak Mentah Inti Kelapa Sawit (Crude Palm Kernel Oil)
10433,Industri Pemisahan/Fraksinasi Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit
10434,Industri Pemurnian Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit
10435,Industri Pemisahan/Fraksinasi Minyak Murni Kelapa Sawit
10436,Industri Pemisahan/Fraksinasi Minyak Murni Inti Kelapa Sawit
10437,Industri Minyak Goreng Kelapa Sawit
10501,Industri Susu Segar dan Krim
10502,Industri Susu Bubuk dan Susu Kental
10503,Industri Es Krim
10504,Industri Es yang Dapat Dimakan dan Es Pencuci Mulut
10509,Industri Produk Susu Lainnya
10611,Industri Produk Gilingan Gandum (Selain Tepung Terigu) dan Serelia Selain Beras dan Jagung
10612,Industri Produk Gilingan Aneka Kacang
10613,"Industri Produk Gilingan Aneka Umbi, Tanaman Rimpang, dan Sayuran"
10614,Industri Tepung Campuran dan Adonan Tepung
10615,Industri Makanan Sereal
10616,Industri Tepung Terigu
10621,Industri Pati Ubi Kayu
10622,Industri Berbagai Macam Pati Palem
10623,Industri Glukosa dan Sejenisnya
10629,Industri Pati dan Produk Pati Lainnya
10632,Industri Pemipilan Jagung
10633,Industri Tepung Beras dan Tepung Jagung
10634,Industri Pati Beras dan Jagung
10710,Industri Produk Bakeri
10721,Industri Gula Pasir
10722,Industri Gula Merah
10723,Industri Sirop
10729,Industri Gula Lainnya
10731,Industri Pengolahan Kakao
10732,Industri Cokelat dan Kembang Gula dari Cokelat
10733,Industri Manisan Buah-buahan dan Sayuran Kering
10739,Industri Kembang Gula Lainnya
10740,"Industri Makaroni, Mi, Couscous, dan Produk Sejenisnya"
10750,Industri Makanan dan Masakan Olahan
10761,Pengolahan Kopi
10762,Pengolahan Teh
10771,Industri Kecap
10772,Industri Garam Konsumsi Beryodium
10779,Industri Bumbu Masakan Lainnya
10791,Industri Makanan Bayi dan Makanan Khusus
10792,Industri Kue Basah
10793,Industri Produk Makanan dari Kelapa
10794,"Industri Kerupuk, Keripik, Peyek, dan Sejenisnya"
10795,Industri Sari Nabati dan Krimer Nabati
10796,Industri Dodol
10797,Industri Infusi Herbal/Herb Infusion
10799,Industri Produk Makanan Lainnya YTDL
10801,Industri Ransum Pakan Hewan
10802,Industri Konsentrat Pakan Hewan
11020,Industri Minuman Beralkohol Hasil Fermentasi Anggur dan Hasil Pertanian Lainnya
11040,Industri Malt
11051,Industri Air Kemasan
11052,Industri Air Minum Isi Ulang
11053,Industri Minuman Ringan
11059,Industri Minuman Lainnya
13111,Persiapan Serat Tekstil
13112,Pemintalan Benang Selain Benang Jahit
13113,Pemintalan Benang Jahit
13121,Pertenunan Tekstil dengan Mesin
13122,Pertenunan Tekstil Bukan dengan Mesin
13131,Penyempurnaan Benang
13139,Penyempurnaan Tekstil Lainnya
13921,Industri Barang Tekstil untuk Keperluan Rumah Tangga
13922,Industri Barang Tekstil dengan Bahan Pengisi
13923,Industri Karung Goni
13924,Industri Karung Selain Karung Goni
13929,Industri Barang Tekstil Bukan Pakaian Jadi Lainnya
14111,Industri Pakaian Jadi (Konfeksi) dari Tekstil
14112,Industri Pakaian Jadi (Konfeksi) dari Kulit dan Tiruan Kulit
14200,Industri Barang dari Kulit Berbulu
14301,Industri Pakaian Jadi dan Perlengkapannya dari Rajutan dan Crocheted
14302,Industri Hosiery Rajutan dan Crocheted
15111,Pengawetan Kulit
15112,Penyamakan Kulit
15113,Pewarnaan Kulit Berbulu
15114,Industri Kulit Komposisi
15121,"Industri Koper, Tas Tangan, dan Sejenisnya"
15122,"Industri Pelana, Alat Pengekang/Harness, dan Barang Lainnya untuk Hewan"
15129,Industri Barang Lainnya dari Kulit dan Kulit Komposisi
15201,Industri Alas Kaki untuk Keperluan Sehari-hari
15202,Industri Sepatu Olahraga
15203,Industri Sepatu Teknik Lapangan/Keperluan Industri
15209,Industri Alas Kaki Lainnya
16101,Penggergajian dan Penghalusan Kayu
16102,Pengawetan Kayu
16103,"Pengawetan Rotan, Bambu, dan Sejenisnya"
16104,Pengolahan Rotan
16105,Industri Partikel Kayu dan Sejenisnya
16211,Industri Kayu Lapis
16212,Industri Venir
16213,Industri Kayu Laminasi
16219,Industri Panel Kayu Lainnya
16221,Industri Barang Bangunan dari Kayu
16222,Industri Bangunan Prafabrikasi dari Kayu dan Sejenisnya
16230,Industri Wadah dari Kayu
16291,Industri Barang Anyaman dari Rotan dan Bambu
16292,Industri Barang Anyaman dari Tanaman Selain Rotan dan Bambu
16293,Industri Kerajinan Ukiran dari Kayu Bukan Furnitur
16294,"Industri Alat Dapur dan Alat Makan dari Kayu, Rotan, dan Bambu"
16295,Industri Kayu Bakar dan Pelet dari Kayu dan Biomassa Lainnya
16299,"Industri Barang Lainnya dari Kayu; Industri Barang dari Gabus, Jerami, Rotan, Bambu, dan Sejenisnya YTDL"
17019,Industri Kertas Lainnya
17091,Industri Kertas Tisu
19209,Industri Produk Lainnya dari Hasil Kilang Minyak Bumi
20111,"Industri Asam, Basa, dan Garam Anorganik"
20112,Industri Gas Industri
20113,Industri Kimia Dasar Zat Warna dan Pigmen
20114,Industri Kimia Dasar Radioaktif
20115,Industri Kimia Dasar Organik dari Sumber Daya Alam Hayati
20116,"Industri Kimia Dasar dari Minyak Bumi, Gas Alam, dan Batu Bara"
20119,Industri Kimia Dasar Anorganik Lainnya
20121,"Industri Senyawa Nitrogen; Pupuk Nitrogen, Fosfat, dan Kalium"
20122,Industri Pupuk Hara Makro Primer Lainnya
20123,Industri Pupuk Hara Mikro
20124,"Industri Pupuk Organik, Pupuk Hayati, dan Media Tanam"
20125,Industri Biostimulan
20131,Industri Damar Buatan (Resin Sintetis) dan Bahan Baku Plastik
20132,Industri Karet Buatan
20211,Industri Bahan Baku Pemberantas Hama (Bahan Aktif)
20212,Industri Pemberantas Hama (Formulasi)
20231,Industri Bahan dan Produk Pembersih
20235,Industri Parfum Sesuai Pesanan
20291,Industri Perekat/Lem
20292,Industri Bahan Peledak
20293,Industri Tinta
20294,Industri Minyak Asiri Hulu
20295,Industri Korek Api
20296,Industri Minyak Asiri Rantai Tengah
20297,Industri Biofuel Cair
20298,Industri Cairan Rokok Elektrik
20299,Industri Barang Kimia Lainnya YTDL
21011,Industri Bahan Baku Farmasi untuk Manusia
21012,Industri Produk Farmasi untuk Manusia
21013,Industri Produk Farmasi untuk Hewan
21014,Industri Bahan Baku Farmasi untuk Hewan
21015,"Industri Alat Diagnosis Medis, Perban, Kasa, dan Penunjang Kesehatan Lainnya"
21021,Industri Bahan Baku Obat Bahan Alam untuk Manusia
21022,Industri Produk Obat Bahan Alam untuk Manusia
21023,Industri Produk Obat Bahan Alam Untuk Hewan
22111,Industri Ban Luar dan Ban Dalam
22112,Industri Pembentukan Kembali Ban dan Vulkanisasi Ban
22121,Industri Karet Asap
22122,Industri Karet Lembaran dan Crepe Rubber
22123,Industri Karet Remah (Crumb Rubber)
22191,Industri Barang dari Karet untuk Keperluan Rumah Tangga
22192,Industri Barang dari Karet untuk Keperluan Industri
22193,Industri Barang dari Karet untuk Keperluan Infrastruktur
22194,Industri Barang dari Karet untuk Kesehatan
22199,Industri Barang Lainnya dari Karet YTDL
22201,Industri Barang dari Plastik untuk Bangunan
22202,Industri Barang dari Plastik dan Bioplastik untuk Pengemasan
22203,Industri Pipa Plastik dan Perlengkapannya
22204,Industri Plastik Lembaran
22205,Industri Perlengkapan dan Peralatan Rumah Tangga dari Plastik (Tidak Termasuk Furnitur)
22206,Industri Barang dan Peralatan Teknik/Industri dari Plastik
22209,Industri Barang Lainnya dari Plastik
23121,Industri Perlengkapan dan Peralatan Rumah Tangga dari Kaca
23942,Industri Kapur
24206,Industri Bahan Bakar Nuklir
32111,Industri Permata
32112,Industri Perhiasan dari Logam Mulia
32113,Industri Barang Berharga dari Logam Mulia Bukan Perhiasan
32114,Industri Perhiasan dari Mutiara
32119,Industri Barang Berharga Lainnya dari Logam Mulia
32120,Industri Perhiasan Imitasi dan Barang Sejenis
32201,Industri Alat Musik Tradisional
32202,Industri Alat Musik Nontradisional
32300,Industri Peralatan dan Perlengkapan Olahraga
32401,Industri Alat Permainan
32402,Industri MainanTermasuk Drone Rekreasi
32501,"Industri Furnitur untuk Operasi, Perawatan Kedokteran, dan Kedokteran Gigi"
32502,"Industri Peralatan Kedokteran dan Kedokteran Gigi, serta Perlengkapan Ortopedi dan Prostetik"
32503,Industri Kacamata
32509,"Industri Peralatan Kedokteran dan Kedokteran Gigi, serta Perlengkapan Lainnya"
32901,Industri Alat Tulis dan Gambar Termasuk Perlengkapannya
32902,Industri Pita Mesin Tulis atau Gambar
32903,Industri Kerajinan YTDL
32904,Industri Peralatan untuk Pelindung Keselamatan
32905,Industri Serat Sabut Kelapa
32906,"Industri Rambut, Janggut, dan Bulu Mata Palsu"
32907,Industri Kancing dan Ritsleting
32908,Industri Pemantik Api/Lighter
35302,Produksi Es
36001,Pengolahan dan Penyediaan Air Minum
36002,Penampungan dan Penyediaan Air Baku
46100,Perdagangan Besar atas dasar Balas Jasa (Fee) atau Kontrak
46201,Perdagangan Besar Padi dan Palawija
46202,Perdagangan Besar Buah yang Mengandung Minyak
46203,Perdagangan Besar Bunga dan Tanaman Hias
46204,Perdagangan Besar Tembakau Rajangan
46205,Perdagangan Besar Binatang Hidup
46206,Perdagangan Besar Ikan dan Biota Air Hidup Lainnya
46207,Perdagangan Besar Hasil Kehutanan dan Perburuan
46208,Perdagangan Besar Kulit
46209,Perdagangan Besar Hasil Pertanian dan Hewan Hidup Lainnya
46311,Perdagangan Besar Beras
46312,Perdagangan Besar Buah-buahan
46313,Perdagangan Besar Sayuran
46314,"Perdagangan Besar Kopi, Teh, dan Kakao"
46315,Perdagangan Besar Minyak dan Lemak Nabati
46319,Perdagangan Besar Bahan Makanan dan Minuman Hasil Pertanian Lainnya
46321,Perdagangan Besar Daging Sapi dan Daging Sapi Olahan
46322,Perdagangan Besar Daging Ayam dan Daging Ayam Olahan
46323,Perdagangan Besar Daging dan Daging Olahan Lainnya
46324,Perdagangan Besar Hasil Perikanan dan Olahan Terkait
46325,Perdagangan Besar Telur dan Hasil Olahan Telur
46326,Perdagangan Besar Susu dan Produk Susu
46327,
46329,Perdagangan Besar Bahan Makanan dan Minuman Hasil Peternakan dan Perikanan Lainnya
46331,Perdagangan Besar Produk Bakeri
46332,
46333,Perdagangan Besar Minuman Beralkohol
46334,Perdagangan Besar Minuman Nonalkohol Bukan Susu
46335,Perdagangan Besar Rokok dan Tembakau
46339,Perdagangan Besar Makanan dan Minuman Lainnya
46411,Perdagangan Besar Tekstil
46412,Perdagangan Besar Pakaian
46413,Perdagangan Besar Alas Kaki
46414,Perdagangan Besar Barang Jadi Tekstil
46415,Perdagangan Besar Perlengkapan Jahit
46420,"Perdagangan Besar Furnitur, Karpet, Perlengkapan Pencahayaan untuk Rumah Tangga, Perkantoran, dan Pertokoan"
46430,Perdagangan Besar Alat Fotografi dan Barang Optik
46441,Perdagangan Besar Sediaan Farmasi untuk Manusia
46442,Perdagangan Besar Sediaan Farmasi untuk Hewan
46451,Perdagangan Besar Alat Tulis dan Gambar
46452,Perdagangan Besar Barang Percetakan dan Penerbitan dalam Berbagai Bentuk
46491,"Perdagangan Besar Peralatan Masak, Peralatan Dapur, dan Elektronik Rumah Tangga"
46492,Perdagangan Besar Peralatan dan Perlengkapan Olahraga
46493,Perdagangan Besar Alat Musik
46494,Perdagangan Besar Perhiasan dan Jam
46495,Perdagangan Besar Alat Permainan dan Mainan
46496,"Perdagangan Besar Tas, Dompet, Koper, Ransel, dan Sejenisnya"
46511,Perdagangan Besar Komputer dan Perlengkapan Komputer
46512,Perdagangan Besar Perangkat Lunak
46521,Perdagangan Besar Suku Cadang Elektronik
46522,"Perdagangan Besar Disket, Flash Drive, Pita Audio dan Video, serta CD dan DVD Kosong"
46523,Perdagangan Besar Peralatan Telekomunikasi
46530,"Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Pertanian"
46591,"Perdagangan Besar Mesin Kantor dan Industri Industri, Suku Cadang, dan Perlengkapannya"
46592,"Perdagangan Besar Alat Transportasi Laut, Suku Cadang, dan Perlengkapannya"
46593,"Perdagangan Besar Alat Transportasi Darat (Bukan Mobil, Sepeda Motor, dan Sejenisnya), Suku Cadang, dan Perlengkapannya"
46594,"Perdagangan Besar Alat Transportasi Udara, Suku Cadang dan Perlengkapannya"
46599,"Perdagangan Besar Mesin, Peralatan, dan Perlengkapan Lainnya YTDL"
46710,"Perdagangan Besar Bahan Bakar Padat, Cair, dan Gas beserta Produk Terkait"
46721,Perdagangan Besar Bijih dan Konsentrat Logam
46731,Perdagangan Besar Bahan Konstruksi dari Logam
46732,Perdagangan Besar Kaca Lembaran
46733,"Perdagangan Besar Bahan Konstruksi dari Tanah Liat, Kapur, Semen, atau Kaca"
46734,"Perdagangan Besar Semen, Kapur, Pasir, dan Batu"
46735,Perdagangan Besar Bahan Konstruksi dari Porselen
46736,Perdagangan Besar Bahan Konstruksi dari Kayu
46737,Perdagangan Besar Cat
46738,Perdagangan Besar Berbagai Macam Material Bangunan
46739,"Perdagangan Besar Bahan Konstruksi, Perkakas, Perlengkapan Perpipaan, dan Peralatan Pemanas Lainnya"
46741,Perdagangan Besar Mineral Bukan Logam
46742,Perdagangan Besar Mineral Radioaktif
46743,Perdagangan Besar Zat Radioaktif dan Pembangkit Radiasi Pengion
46751,Perdagangan Besar Bahan dan Barang Kimia
46752,Perdagangan Besar Pupuk dan Produk Agrokimia
46753,Perdagangan Besar Bahan Berbahaya (B2)
46791,Perdagangan Besar Alat Kesehatan dan Laboratorium untuk Manusia
46792,Perdagangan Besar Alat Kesehatan untuk Hewan
46793,Perdagangan Besar Karet dan Plastik dalam Bentuk Dasar
46794,Perdagangan Besar Kertas dan Karton
46795,Perdagangan Besar Barang dari Kertas dan Karton
46796,Perdagangan Besar Barang Bekas dan Skrap
46799,Perdagangan Besar Produk Lainnya YTDL
46901,Perdagangan Besar Berbagai Macam Barang di Grosir/Perkulakan Swalayan
46902,Perdagangan Besar Berbagai Macam Barang Selain di Grosir/Perkulakan Swalayan
47724,Perdagangan Eceran Kosmetik untuk Manusia
49231,Angkutan Bermotor untuk Barang Umum
49232,Angkutan Bermotor untuk Barang Khusus
49233,Angkutan Tidak Bermotor untuk Barang
50121,Angkutan Laut Dalam Negeri untuk Barang Umum
50122,Angkutan Laut Dalam Negeri untuk Barang Khusus
50123,Angkutan Laut Dalam Negeri Perintis untuk Barang
50124,Angkutan Laut Dalam Negeri Pelayaran Rakyat untuk Barang
50125,Angkutan Laut Luar Negeri untuk Barang Umum
50127,Angkutan Laut Luar Negeri Pelayaran Rakyat untuk Barang
51201,Angkutan Udara Niaga Berjadwal Khusus Kargo
51202,Angkutan Udara Niaga Tidak Berjadwal Khusus Kargo
51203,Transportasi Antariksa untuk Barang
52102,Aktivitas Gudang Dingin
52103,Aktivitas Gudang Berikat
52109,Pergudangan dan Penyimpanan Lainnya
52227,Angkutan Perairan Pelabuhan
53100,Aktivitas Pos
53200,Aktivitas Kurir
53301,Aktivitas Jasa Portal Intermediasi Pos dan Kurir
53309,Jasa Intermediasi Pos dan Kurir Lainnya
56101,Aktivitas Penyediaan Makanan di Bangunan Tetap
56102,Aktivitas Penyediaan Makanan di Bangunan Tidak Tetap
56210,Aktivitas Jasa Boga untuk Acara Tertentu (Event Catering)
56290,Aktivitas Penyediaan Jasa Boga Lainnya
56400,Aktivitas Jasa Intermediasi Penyediaan Makanan dan Minuman
82921,"Aktivitas Pengepakan Bahan dan Produk Hasil Pertanian, Perkebunan, Kehutanan, dan Perikanan"
82922,Aktivitas Pengepakan Bahan dan Produk Makanan dan Minuman Olahan
82923,Aktivitas Pengepakan Tekstil dan Produk Tekstil
82924,Aktivitas Pengepakan Bahan dan Produk Kimia
82925,Aktivitas Pengepakan Bahan dan Produk Farmasi
82929,Aktivitas Pengepakan Lainnya
